title,street,pow,room,price,price_m2,link,source
Kraków Tonie,ul. Na Mostkach,76,3,950000,12583,https://adresowo.pl/o/k0a3g9,Adresowo
Kraków Dębniki,ul. Lubostroń,68,3,1200000,17647,https://adresowo.pl/o/o1k1u6,Adresowo
Kraków Dębniki,ul. Powstańców,45,3,600000,13333,https://adresowo.pl/o/i1i4e8,Adresowo
Kraków Grzegórzki,ul. płk. pil. Stefana Łaszkiewicza,62,3,1250000,20161,https://adresowo.pl/o/h5x5n4,Adresowo
Kraków Prądnik Biały,ul. Marii Jaremy,51,3,595000,11667,https://adresowo.pl/o/e3w7n2,Adresowo
Kraków Nowa Huta,os. Kazimierzowskie,37,2,499000,13486,https://adresowo.pl/o/o2v7j1,Adresowo
Kraków Grzegórzki,al. Ignacego Daszyńskiego,34,1,663000,19500,https://adresowo.pl/o/b8z7l9,Adresowo
Kraków Podgórze,ul. Kalwaryjska,73,3,795000,10890,https://adresowo.pl/o/q3r7g8,Adresowo
Kraków Krowodrza,al. Kijowska,35,2,795000,22845,https://adresowo.pl/o/n8p3l5,Adresowo
Kraków,ul. Kobierzyńska,45,2,754947,16695,https://adresowo.pl/o/a1r5e5,Adresowo
Kraków Prokocim,ul. Snycerska,48,2,690000,14375,https://adresowo.pl/o/m6s3k0,Adresowo
Kraków Śródmieście,ul. bp. Jana Prandoty,39,2,699000,18071,https://adresowo.pl/o/s3i4m8,Adresowo
Kraków Zakrzówek,ul. Sodowa,73,3,1300000,17760,https://adresowo.pl/o/o1b9l9,Adresowo
Kraków Dębniki,ul. Słomiana,50,3,899000,17980,https://adresowo.pl/o/h1s7r4,Adresowo
Kraków Prądnik Biały,ul. Bałtycka,52,3,770000,14808,https://adresowo.pl/o/p9j6k7,Adresowo
Kraków Krowodrza,,33,2,859000,26030,https://adresowo.pl/o/m8t9o1,Adresowo
Kraków Kurdwanów,ul. por. Halszki,53,3,799000,15075,https://adresowo.pl/o/z7m7o1,Adresowo
Kraków Prądnik Biały,ul. Stefana Banacha,49,3,699000,14187,https://adresowo.pl/o/o5f2s4,Adresowo
Kraków Mistrzejowice,os. Piastów,46,2,835000,18105,https://adresowo.pl/o/n6c1z1,Adresowo
Kraków Płaszów,ul. Lasówka,36,2,535000,15028,https://adresowo.pl/o/w3w9p8,Adresowo
Kraków,ul. Kobierzyńska,59,3,868623,14700,https://adresowo.pl/o/w4e3o4,Adresowo
Kraków Rakowice,ul. Janusza Meissnera,48,3,849000,17855,https://adresowo.pl/o/w3x9n2,Adresowo
Kraków Śródmieście,ul. Rakowicka,71,3,1764000,25000,https://adresowo.pl/o/x6u3h2,Adresowo
Kraków Dębniki,ul. Obozowa,28,2,580000,20714,https://adresowo.pl/o/o5k1z8,Adresowo
Kraków Górka Narodowa,ul. Belwederczyków,39,2,680000,17294,https://adresowo.pl/o/i6z1w3,Adresowo
Kraków Prądnik Biały,ul. Adama Vetulaniego,40,2,700000,17722,https://adresowo.pl/o/w4n4w7,Adresowo
Kraków Kliny,ul. Borkowska,38,2,620000,16133,https://adresowo.pl/o/n3x7k1,Adresowo
Kraków Swoszowice,ul. Borkowska,79,3,1390000,17662,https://adresowo.pl/o/k0v4i3,Adresowo
Kraków Grzegórzki,ul. płk. Francesco Nullo,37,1,599000,16189,https://adresowo.pl/o/c3n2k1,Adresowo
Kraków Prądnik Biały,ul. Nad Sudołem,48,3,785000,16354,https://adresowo.pl/o/n6u7m0,Adresowo
Kraków Grzegórzki,ul. Kazimierza Wielkiego,64,3,1300000,20313,https://adresowo.pl/o/f0w1c6,Adresowo
Kraków Ruczaj,ul. dr. Jana Piltza,58,3,1047000,18209,https://adresowo.pl/o/u7j6y8,Adresowo
Kraków,ul. Jana Kurczaba,33,1,419000,12892,https://adresowo.pl/o/h5t7u7,Adresowo
Kraków Łagiewniki,ul. Kobierzyńska,59,3,1239000,21000,https://adresowo.pl/o/y4a0z7,Adresowo
Kraków Czyżyny,ul. Galicyjska,53,2,949000,18008,https://adresowo.pl/o/f7p8c4,Adresowo
Kraków Nowa Huta,ul. Fatimska,58,3,810000,13875,https://adresowo.pl/o/m2v6z7,Adresowo
Kraków Grzegórzki,ul. Hugona Kołłątaja,61,4,1349780,22285,https://adresowo.pl/o/n6f1m8,Adresowo
Kraków Bronowice Wielkie,ul. Stańczyka,48,3,1100000,22917,https://adresowo.pl/o/i9r6s7,Adresowo
Kraków Azory,ul. Stanisława Lentza,40,2,630000,15750,https://adresowo.pl/o/g4q4g1,Adresowo
Kraków Nowa Huta,,42,2,700000,16667,https://adresowo.pl/o/v6f1k2,Adresowo
Kraków Bieżanów,ul. Podłęska,55,2,763000,14000,https://adresowo.pl/o/u4i3h4,Adresowo
Kraków Czyżyny,ul. Bolesława Orlińskiego,62,3,980000,15746,https://adresowo.pl/o/h4b1l3,Adresowo
Kraków Dębniki,ul. Lubostroń,68,3,1200000,17647,https://adresowo.pl/o/o1k1u6,Adresowo
Kraków Dębniki,ul. Powstańców,45,3,600000,13333,https://adresowo.pl/o/i1i4e8,Adresowo
Kraków Grzegórzki,ul. płk. pil. Stefana Łaszkiewicza,62,3,1250000,20161,https://adresowo.pl/o/h5x5n4,Adresowo
Kraków Prądnik Biały,ul. Marii Jaremy,51,3,595000,11667,https://adresowo.pl/o/e3w7n2,Adresowo
Kraków Nowa Huta,os. Kazimierzowskie,37,2,499000,13486,https://adresowo.pl/o/o2v7j1,Adresowo
Kraków Grzegórzki,al. Ignacego Daszyńskiego,34,1,663000,19500,https://adresowo.pl/o/b8z7l9,Adresowo
Kraków Podgórze,ul. Kalwaryjska,73,3,795000,10890,https://adresowo.pl/o/q3r7g8,Adresowo
Kraków Krowodrza,al. Kijowska,35,2,795000,22845,https://adresowo.pl/o/n8p3l5,Adresowo
Kraków,ul. Kobierzyńska,45,2,754947,16695,https://adresowo.pl/o/a1r5e5,Adresowo
Kraków Prokocim,ul. Snycerska,48,2,690000,14375,https://adresowo.pl/o/m6s3k0,Adresowo
Kraków Śródmieście,ul. bp. Jana Prandoty,39,2,699000,18071,https://adresowo.pl/o/s3i4m8,Adresowo
Kraków Zakrzówek,ul. Sodowa,73,3,1300000,17760,https://adresowo.pl/o/o1b9l9,Adresowo
Kraków Dębniki,ul. Słomiana,50,3,899000,17980,https://adresowo.pl/o/h1s7r4,Adresowo
Kraków Prądnik Biały,ul. Bałtycka,52,3,770000,14808,https://adresowo.pl/o/p9j6k7,Adresowo
Kraków Krowodrza,,33,2,859000,26030,https://adresowo.pl/o/m8t9o1,Adresowo
Kraków Kurdwanów,ul. por. Halszki,53,3,799000,15075,https://adresowo.pl/o/z7m7o1,Adresowo
Kraków Prądnik Biały,ul. Stefana Banacha,49,3,699000,14187,https://adresowo.pl/o/o5f2s4,Adresowo
Kraków Mistrzejowice,os. Piastów,46,2,835000,18105,https://adresowo.pl/o/n6c1z1,Adresowo
Kraków Płaszów,ul. Lasówka,36,2,535000,15028,https://adresowo.pl/o/w3w9p8,Adresowo
Kraków,ul. Kobierzyńska,59,3,868623,14700,https://adresowo.pl/o/w4e3o4,Adresowo
Kraków Rakowice,ul. Janusza Meissnera,48,3,849000,17855,https://adresowo.pl/o/w3x9n2,Adresowo
Kraków Śródmieście,ul. Rakowicka,71,3,1764000,25000,https://adresowo.pl/o/x6u3h2,Adresowo
Kraków Dębniki,ul. Obozowa,28,2,580000,20714,https://adresowo.pl/o/o5k1z8,Adresowo
Kraków Górka Narodowa,ul. Belwederczyków,39,2,680000,17294,https://adresowo.pl/o/i6z1w3,Adresowo
Kraków Prądnik Biały,ul. Adama Vetulaniego,40,2,700000,17722,https://adresowo.pl/o/w4n4w7,Adresowo
Kraków Kliny,ul. Borkowska,38,2,620000,16133,https://adresowo.pl/o/n3x7k1,Adresowo
Kraków Swoszowice,ul. Borkowska,79,3,1390000,17662,https://adresowo.pl/o/k0v4i3,Adresowo
Kraków Grzegórzki,ul. płk. Francesco Nullo,37,1,599000,16189,https://adresowo.pl/o/c3n2k1,Adresowo
Kraków Prądnik Biały,ul. Nad Sudołem,48,3,785000,16354,https://adresowo.pl/o/n6u7m0,Adresowo
Kraków Grzegórzki,ul. Kazimierza Wielkiego,64,3,1300000,20313,https://adresowo.pl/o/f0w1c6,Adresowo
Kraków Ruczaj,ul. dr. Jana Piltza,58,3,1047000,18209,https://adresowo.pl/o/u7j6y8,Adresowo
Kraków,ul. Jana Kurczaba,33,1,419000,12892,https://adresowo.pl/o/h5t7u7,Adresowo
Kraków Łagiewniki,ul. Kobierzyńska,59,3,1239000,21000,https://adresowo.pl/o/y4a0z7,Adresowo
Kraków Czyżyny,ul. Galicyjska,53,2,949000,18008,https://adresowo.pl/o/f7p8c4,Adresowo
Kraków Nowa Huta,ul. Fatimska,58,3,810000,13875,https://adresowo.pl/o/m2v6z7,Adresowo
Kraków Grzegórzki,ul. Hugona Kołłątaja,61,4,1349780,22285,https://adresowo.pl/o/n6f1m8,Adresowo
Kraków Bronowice Wielkie,ul. Stańczyka,48,3,1100000,22917,https://adresowo.pl/o/i9r6s7,Adresowo
Kraków Azory,ul. Stanisława Lentza,40,2,630000,15750,https://adresowo.pl/o/g4q4g1,Adresowo
Kraków Nowa Huta,,42,2,700000,16667,https://adresowo.pl/o/v6f1k2,Adresowo
Kraków Bieżanów,ul. Podłęska,55,2,763000,14000,https://adresowo.pl/o/u4i3h4,Adresowo
Kraków Podgórze Duchackie,ul. Łużycka,68,4,827000,12252,https://adresowo.pl/o/y3l0e6,Adresowo
Kraków Dębniki,ul. Lubostroń,68,3,1200000,17647,https://adresowo.pl/o/o1k1u6,Adresowo
Kraków Dębniki,ul. Powstańców,45,3,600000,13333,https://adresowo.pl/o/i1i4e8,Adresowo
Kraków Grzegórzki,ul. płk. pil. Stefana Łaszkiewicza,62,3,1250000,20161,https://adresowo.pl/o/h5x5n4,Adresowo
Kraków Prądnik Biały,ul. Marii Jaremy,51,3,595000,11667,https://adresowo.pl/o/e3w7n2,Adresowo
Kraków Nowa Huta,os. Kazimierzowskie,37,2,499000,13486,https://adresowo.pl/o/o2v7j1,Adresowo
Kraków Grzegórzki,al. Ignacego Daszyńskiego,34,1,663000,19500,https://adresowo.pl/o/b8z7l9,Adresowo
Kraków Podgórze,ul. Kalwaryjska,73,3,795000,10890,https://adresowo.pl/o/q3r7g8,Adresowo
Kraków Krowodrza,al. Kijowska,35,2,795000,22845,https://adresowo.pl/o/n8p3l5,Adresowo
Kraków,ul. Kobierzyńska,45,2,754947,16695,https://adresowo.pl/o/a1r5e5,Adresowo
Kraków Prokocim,ul. Snycerska,48,2,690000,14375,https://adresowo.pl/o/m6s3k0,Adresowo
Kraków Śródmieście,ul. bp. Jana Prandoty,39,2,699000,18071,https://adresowo.pl/o/s3i4m8,Adresowo
Kraków Zakrzówek,ul. Sodowa,73,3,1300000,17760,https://adresowo.pl/o/o1b9l9,Adresowo
Kraków Dębniki,ul. Słomiana,50,3,899000,17980,https://adresowo.pl/o/h1s7r4,Adresowo
Kraków Prądnik Biały,ul. Bałtycka,52,3,770000,14808,https://adresowo.pl/o/p9j6k7,Adresowo
Kraków Krowodrza,,33,2,859000,26030,https://adresowo.pl/o/m8t9o1,Adresowo
Kraków Kurdwanów,ul. por. Halszki,53,3,799000,15075,https://adresowo.pl/o/z7m7o1,Adresowo
Kraków Prądnik Biały,ul. Stefana Banacha,49,3,699000,14187,https://adresowo.pl/o/o5f2s4,Adresowo
Kraków Mistrzejowice,os. Piastów,46,2,835000,18105,https://adresowo.pl/o/n6c1z1,Adresowo
Kraków Płaszów,ul. Lasówka,36,2,535000,15028,https://adresowo.pl/o/w3w9p8,Adresowo
Kraków,ul. Kobierzyńska,59,3,868623,14700,https://adresowo.pl/o/w4e3o4,Adresowo
Kraków Rakowice,ul. Janusza Meissnera,48,3,849000,17855,https://adresowo.pl/o/w3x9n2,Adresowo
Kraków Śródmieście,ul. Rakowicka,71,3,1764000,25000,https://adresowo.pl/o/x6u3h2,Adresowo
Kraków Dębniki,ul. Obozowa,28,2,580000,20714,https://adresowo.pl/o/o5k1z8,Adresowo
Kraków Górka Narodowa,ul. Belwederczyków,39,2,680000,17294,https://adresowo.pl/o/i6z1w3,Adresowo
Kraków Prądnik Biały,ul. Adama Vetulaniego,40,2,700000,17722,https://adresowo.pl/o/w4n4w7,Adresowo
Kraków Kliny,ul. Borkowska,38,2,620000,16133,https://adresowo.pl/o/n3x7k1,Adresowo
Kraków Swoszowice,ul. Borkowska,79,3,1390000,17662,https://adresowo.pl/o/k0v4i3,Adresowo
Kraków Grzegórzki,ul. płk. Francesco Nullo,37,1,599000,16189,https://adresowo.pl/o/c3n2k1,Adresowo
Kraków Prądnik Biały,ul. Nad Sudołem,48,3,785000,16354,https://adresowo.pl/o/n6u7m0,Adresowo
Kraków Grzegórzki,ul. Kazimierza Wielkiego,64,3,1300000,20313,https://adresowo.pl/o/f0w1c6,Adresowo
Kraków Ruczaj,ul. dr. Jana Piltza,58,3,1047000,18209,https://adresowo.pl/o/u7j6y8,Adresowo
Kraków,ul. Jana Kurczaba,33,1,419000,12892,https://adresowo.pl/o/h5t7u7,Adresowo
Kraków Łagiewniki,ul. Kobierzyńska,59,3,1239000,21000,https://adresowo.pl/o/y4a0z7,Adresowo
Kraków Czyżyny,ul. Galicyjska,53,2,949000,18008,https://adresowo.pl/o/f7p8c4,Adresowo
Kraków Nowa Huta,ul. Fatimska,58,3,810000,13875,https://adresowo.pl/o/m2v6z7,Adresowo
Kraków Grzegórzki,ul. Hugona Kołłątaja,61,4,1349780,22285,https://adresowo.pl/o/n6f1m8,Adresowo
Kraków Bronowice Wielkie,ul. Stańczyka,48,3,1100000,22917,https://adresowo.pl/o/i9r6s7,Adresowo
Kraków Azory,ul. Stanisława Lentza,40,2,630000,15750,https://adresowo.pl/o/g4q4g1,Adresowo
Kraków Nowa Huta,,42,2,700000,16667,https://adresowo.pl/o/v6f1k2,Adresowo
Kraków Bieżanów,ul. Podłęska,55,2,763000,14000,https://adresowo.pl/o/u4i3h4,Adresowo
